course code,course title,credit,practical,lecture
OAS351,Space Science,3,0,3
OIE351,Introduction to Industrial Engineering,3,0,3
OBT351,"Food, Nutrition and Health",3,0,3
OCE351,Environment and Social Impact Assessment,3,0,3
OEE351,Renewable Energy System,3,0,3
OEI351,Introduction to Industrial Instrumentation and Control,3,0,3
OMA351,Graph Theory,3,0,3
OIE352,Resource Management Techniques,3,0,3
OMG351,Fintech Regulation,3,0,3
OFD351,Holistic Nutrition,3,0,3
AI3021,IT in Agricultural System,3,0,3
OEI352,Introduction to Control Engineering,3,0,3
OPY351,Pharmaceutical Nanotechnology,3,0,3
OAE351,Aviation Management,3,0,3
OHS351,English for Competitive Examinations,3,0,3
OMG352,NGOs and Sustainable Development,3,0,3
OMG353,Democracy and Good Governance,3,0,3
CME365,Renewable Energy Technologies,3,0,3
OME354,Applied Design Thinking,3,0,3
MF3003,Reverse Engineering,3,0,3
OPR351,Sustainable Manufacturing,3,0,3
AU3791,Electric and Hybrid Vehicles,3,0,3
OAS352,Space Engineering,3,0,3
OIM351,Industrial Management,3,0,3
OIE354,Quality Engineering,3,0,3
OSF351,Fire Safety Engineering,3,0,3
OML351,Introduction to Non-destructive Testing,3,0,3
OMR351,Mechatronics,3,0,3
ORA351,Foundation of Robotics,3,0,3
OAE352,Fundamentals of Aeronautical Engineering,3,0,3
OGI351,Remote Sensing Concepts,3,0,3
OAI351,Urban Agriculture,3,0,3
OEN351,Drinking Water Supply and Treatment,3,0,3
OEE352,Electric Vehicle Technology,3,0,3
OEI353,Introduction to PLC Programming,3,0,3
OCH351,Nano Technology,3,0,3
OCH352,Functional Materials,3,0,3
OFD352,Traditional Indian Foods,3,0,3
OFD353,Introduction to food processing,3,0,3
OPY352,IPR for Pharma Industry,3,0,3
OTT351,Basics of Textile Finishing,3,0,3
OTT352,Industrial Engineering for Garment Industry,3,0,3
OTT353,Basics of Textile Manufacture,3,0,3
OPE351,Introduction to Petroleum Refining and Petrochemicals,3,0,3
CPE334,Energy Conservation and Management,3,0,3
OPT351,Basics of Plastics Processing,3,0,3
OEC351,Signals and Systems,3,0,3
OEC352,Fundamentals of Electronic Devices and Circuits,3,0,3
CBM348,Foundation Skills in Integrated Product Development,3,0,3
CBM333,Assistive Technology,3,0,3
OMA352,Operations Research,3,0,3
OMA353,Algebra and Number Theory,3,0,3
OMA354,Linear Algebra,3,0,3
OCE353,"Lean Concepts, Tools and Practices",3,0,3
OBT352,Basics of Microbial Technology,3,0,3
OBT353,Basics of Biomolecules,3,0,3
OBT354,Fundamentals of Cell and Molecular Biology,3,0,3
OHS352,Project Report Writing,3,0,3
OMA355,Advanced Numerical Methods,3,0,3
OMA356,Random Processes,3,0,3
OMA357,Queuing and Reliability Modelling,3,0,3
OMG354,Production and Operations Management for Entrepreneurs,3,0,3
OMG355,Multivariate Data Analysis,3,0,3
OME352,Additive Manufacturing,3,0,3
CME343,New Product Development,3,0,3
OME355,Industrial Design & Rapid Prototyping Techniques,3,0,3
MF3010,Micro and Precision Engineering,3,0,3
OMF354,Cost Management of Engineering Projects,3,0,3
AU3002,Batteries and Management system,3,0,3
AU3008,Sensors and Actuators,3,0,3
OAS353,Space Vehicles,3,0,3
OIM352,Management Science,3,0,3
OIM353,Production Planning and Control,3,0,3
OIE353,Operations Management,3,0,3
OSF352,Industrial Hygiene,3,0,3
OSF353,Chemical Process Safety,3,0,3
OML352,"Electrical, Electronic and Magnetic materials",3,0,3
OML353,Nanomaterials and Applications,3,0,3
OMR352,Hydraulics and Pneumatics,3,0,3
OMR353,Sensors,3,0,3
ORA352,Concepts in Mobile Robots,3,0,3
MV3501,Marine Propulsion,3,0,3
OMV351,Marine Merchant Vessels,3,0,3
OMV352,Elements of Marine Engineering,3,0,3
CRA332,Drone Technologies,3,0,3
OGI352,Geographical Information System,3,0,3
OAI352,Agriculture Entrepreneurship Development,3,0,3
OEN352,Biodiversity Conservation,3,0,3
OEE353,Introduction to control systems,3,0,3
OEI354,Introduction to Industrial Automation Systems,3,0,3
OCH353,Energy Technology,3,0,3
OCH354,Surface Science,3,0,3
OFD354,Fundamentals of Food Engineering,3,0,3
OFD355,Food safety and Quality Regulations,3,0,3
OPY353,Nutraceuticals,3,0,3
OTT354,Basics of Dyeing and Printing,3,0,3
FT3201,Fibre Science,3,0,3
OTT355,Garment Manufacturing Technology,3,0,3
OPE353,Industrial safety,3,0,3
OPE354,Unit Operations in Petro Chemical Industries,3,0,3
OPT352,Plastic Materials for Engineers,3,0,3
OPT353,Properties and Testing of Plastics,3,0,3
OEC353,VLSI Design,3,0,3
CBM370,Wearable Devices,3,0,3
CBM356,Medical Informatics,3,0,3
OCE354,Basics of Integrated Water Resources Management,3,0,3
OBT355,Biotechnology for Waste Management,3,0,3
OBT356,Lifestyle Diseases,3,0,3
OBT357,Biotechnology in Health Care,3,0,3
